@relation 'city_day-weka.filters.unsupervised.attribute.NumericCleaner-min1.0E-9-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C5-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C6-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C8-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C12-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C14-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-Lfirst-last-M-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C18-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-Llast-weka.filters.unsupervised.attribute.Remove-R17-18-weka.filters.unsupervised.attribute.NominalToBinary-R1-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9-10,12,14,16-18,20-21,23-25-weka.filters.unsupervised.attribute.NumericToNominal-R1-9-weka.filters.unsupervised.attribute.Remove-R18,20,22-weka.filters.unsupervised.attribute.ClassAssigner-Clast'

@attribute City=Amaravati {0,1}
@attribute City=Amritsar {0,1}
@attribute City=Chandigarh {0,1}
@attribute City=Delhi {0,1}
@attribute City=Gurugram {0,1}
@attribute City=Hyderabad {0,1}
@attribute City=Kolkata {0,1}
@attribute City=Patna {0,1}
@attribute City=Visakhapatnam {0,1}
@attribute Date date yyyy-MM-dd
@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute O3 numeric
@attribute Toluene numeric
@attribute AQI numeric
@attribute AQI_Bucket {Poor,'Very Poor',Severe,Moderate,Satisfactory,Good}

@data
1,0,0,0,0,0,0,0,0,2017-11-29,72.47,114.84,5.23,23.2,16.59,12.25,0.16,109.74,4.71,173,Moderate
1,0,0,0,0,0,0,0,0,2017-12-07,117.46,181.64,4.26,41.1,25.32,17.34,0.13,94.63,6.21,252,Poor
1,0,0,0,0,0,0,0,0,2017-12-08,122.88,208.86,5.56,54.87,33.71,17.96,0.27,68.6,6.28,310,'Very Poor'
1,0,0,0,0,0,0,0,0,2017-12-09,74.28,141.22,6.1,44.97,28.88,15.73,0.09,60.62,4.79,196,Moderate
1,0,0,0,0,0,0,0,0,2017-12-10,50.32,102.77,1.73,33.85,19.41,12.56,0.1,68.15,4.29,132,Moderate
1,0,0,0,0,0,0,0,0,2017-12-11,58.47,115.27,4.93,41.64,26.15,15.2,0.16,73.75,5.51,147,Moderate
1,0,0,0,0,0,0,0,0,2017-12-12,89.35,131.48,7.97,42.1,28.88,21.24,0.24,44.67,7.01,179,Moderate
1,0,0,0,0,0,0,0,0,2017-12-13,64.42,99.74,7.2,34.78,24.36,17.63,0.15,50.16,6.11,145,Moderate
1,0,0,0,0,0,0,0,0,2017-12-14,69.4,98.94,5.81,29.97,20.67,19.34,0.14,55,5.09,115,Moderate
1,0,0,0,0,0,0,0,0,2017-12-15,71.07,109.65,4.19,25,16.7,16,0.1,79.04,3.45,140,Moderate
1,0,0,0,0,0,0,0,0,2017-12-16,79.76,129.81,8.77,40.92,28.84,15.56,0.17,73.17,4.41,156,Moderate
1,0,0,0,0,0,0,0,0,2017-12-17,108.06,167.62,7.29,47.05,30.94,18.52,0.08,70.74,4.32,225,Poor
1,0,0,0,0,0,0,0,0,2017-12-18,100.75,172.04,7.63,53.94,33.45,18.49,0.11,59.2,3.77,251,Poor
1,0,0,0,0,0,0,0,0,2017-12-19,106.25,171.56,2.74,43.09,21.78,19.66,0.13,66.9,3.13,228,Poor
1,0,0,0,0,0,0,0,0,2017-12-20,83.79,141.83,6.77,47.47,30.74,17.37,0.3,77.54,3.7,223,Poor
1,0,0,0,0,0,0,0,0,2017-12-21,79.98,147.74,7.02,49.55,32.07,17.28,0.14,79.71,3.95,170,Moderate
1,0,0,0,0,0,0,0,0,2017-12-22,76.27,152.59,7.51,56,35.9,19.53,0.15,56.97,4.44,165,Moderate
1,0,0,0,0,0,0,0,0,2017-12-23,86.5,147.95,5.24,42,26.6,20.78,0.15,73.09,3.9,159,Moderate
1,0,0,0,0,0,0,0,0,2017-12-24,100.62,167.75,3.75,47.68,28.41,23.68,0.22,62.78,4.81,232,Poor
