@relation 'city_day-weka.filters.unsupervised.attribute.NumericCleaner-min1.0E-9-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C5-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C6-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C8-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C12-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C14-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-Lfirst-last-M-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C18-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-Llast-weka.filters.unsupervised.attribute.Remove-R17-18-weka.filters.unsupervised.attribute.NominalToBinary-R1-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9-10,12,14,16-18,20-21,23-25-weka.filters.unsupervised.attribute.NumericToNominal-R1-9-weka.filters.unsupervised.attribute.Remove-R18,20,22-weka.filters.unsupervised.attribute.ClassAssigner-Clast-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement'

@attribute City=Amaravati {0,1}
@attribute City=Amritsar {0,1}
@attribute City=Chandigarh {0,1}
@attribute City=Delhi {0,1}
@attribute City=Gurugram {0,1}
@attribute City=Hyderabad {0,1}
@attribute City=Kolkata {0,1}
@attribute City=Patna {0,1}
@attribute City=Visakhapatnam {0,1}
@attribute Date date yyyy-MM-dd
@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute O3 numeric
@attribute Toluene numeric
@attribute AQI numeric
@attribute AQI_Bucket {Poor,'Very Poor',Severe,Moderate,Satisfactory,Good}

@data
0,0,0,0,0,0,0,0,1,2018-08-12,21.86,49.71,21.28,42.23,39.76,11.7,0.48,7.68,15.56,76,Satisfactory
0,0,0,0,0,1,0,0,0,2020-03-19,43.39,97.86,9.2,33.52,24.66,14.85,0.68,24.86,21.63,87,Satisfactory
0,0,0,0,0,1,0,0,0,2020-02-18,45.93,120.32,13,47.25,33.53,23.78,0.57,29.11,11.44,116,Moderate
0,0,0,0,0,0,0,0,1,2016-11-13,78.65,120.82,3.86,28.57,16.77,15.63,1.2,80,8.23,129,Moderate
0,1,0,0,0,0,0,0,0,2020-03-13,17.08,70.36,17.22,11.62,26.98,11.8,0.78,36.31,1.59,72,Satisfactory
0,0,0,0,0,0,0,0,1,2016-11-08,67.16,105.6,24.19,70.94,46.62,10.33,1.46,34.74,13.49,133,Moderate
0,0,0,0,0,1,0,0,0,2017-03-23,60.33,158.98,12.2,48.25,13.65,21.52,0.23,64.54,1.34,175,Moderate
0,0,0,0,0,0,1,0,0,2019-06-27,22.86,49.27,18.44,15.6,35.56,13.5,0.33,24.76,7.53,62,Satisfactory
0,0,0,0,0,0,0,0,1,2016-08-21,38.2,107.83,6.13,33.87,21.06,13.87,0.98,57.54,8.1,111,Moderate
1,0,0,0,0,0,0,0,0,2019-04-20,9.39,36.94,2.81,12.29,8.89,4.58,0.35,24.65,2.25,45,Good
0,1,0,0,0,0,0,0,0,2018-03-09,29.06,104.61,11.67,9.14,27.71,7.18,0.69,18.23,1.42,112,Moderate
0,0,0,0,0,1,0,0,0,2016-12-01,58.86,97.97,10.58,54.03,10.45,31.73,0.38,49.67,0.15,103,Moderate
0,0,0,0,0,0,0,0,1,2019-03-21,23.36,66.43,10.06,29.64,23.95,7.49,0.79,22.21,6.98,74,Satisfactory
0,0,0,0,0,0,0,0,1,2016-08-06,24.73,89.99,15.38,33.23,27.66,11.63,1.17,21.29,9.28,95,Satisfactory
0,0,0,0,0,1,0,0,0,2019-05-24,37.62,92.55,3.72,24.68,16.07,11.42,0.63,50.74,8.55,92,Satisfactory
0,0,0,1,0,0,0,0,0,2019-08-07,32.63,72.98,22.98,31.82,38.88,33.65,1.22,29.87,29.46,104,Moderate
0,0,0,0,0,0,0,0,1,2020-01-26,53.3,128.35,6.9,59.38,37.2,13.41,0.94,16.86,31.46,113,Moderate
0,0,0,1,0,0,0,0,0,2019-04-02,90.1,211.47,29.38,55.76,57.47,29.3,1.19,54.67,27.15,194,Moderate
0,0,0,0,0,0,0,0,1,2020-03-20,23.97,67.96,11.37,35.13,27.93,11.38,0.87,37.46,12.72,91,Satisfactory
0,0,0,0,0,1,0,0,0,2019-05-19,55.84,158.9,7.38,39.35,26.81,16.8,0.84,40.31,34.93,134,Moderate
0,0,0,1,0,0,0,0,0,2020-05-06,58.44,169.61,13.75,21.88,25.58,29.53,0.89,53.95,13.31,139,Moderate
0,0,0,0,0,0,0,0,1,2020-06-03,17.94,102.58,5.6,30.32,20.59,9.49,0.58,23.82,7.59,88,Satisfactory
1,0,0,0,0,0,0,0,0,2019-05-23,30.42,76.95,1.27,16.96,10.05,3.25,0.72,30.35,1.02,99,Satisfactory
0,0,0,0,0,1,0,0,0,2019-04-23,34.65,83.12,6.98,38.86,26.08,14.05,0.77,45.19,8.79,96,Satisfactory
0,0,0,0,0,1,0,0,0,2017-07-05,10.4,37,7.39,12.88,6.43,3.23,0.16,30.35,0.69,58,Satisfactory
0,0,0,0,0,0,0,0,1,2019-07-19,58.92,110.31,16.16,48.17,38.77,11.25,0.93,12.78,19.72,106,Moderate
0,0,0,0,0,1,0,0,0,2017-08-04,13.35,44.95,8.9,18.12,8.43,7.5,0.17,24.55,1.86,49,Good
1,0,0,0,0,0,0,0,0,2020-02-19,40.98,69.15,2.22,14.6,9.58,19.11,0.46,39.9,0.97,65,Satisfactory
0,0,0,0,0,1,0,0,0,2018-01-10,74.08,158.74,7.01,53.36,33.57,22.15,1.03,56.34,13.68,165,Moderate
0,0,0,1,0,0,0,0,0,2019-05-28,65.82,183.77,37.41,61.45,66.06,29.84,1.3,54.43,30.24,175,Moderate
0,0,0,0,0,1,0,0,0,2017-05-17,37.23,102.58,4.41,38.74,11.94,18.51,0.11,38.04,0.73,102,Moderate
0,0,0,0,0,1,0,0,0,2018-07-06,20.05,48.6,4.7,26,17.26,11.89,0.3,18.73,8.65,49,Good
0,0,0,0,0,0,0,0,1,2016-07-12,28.42,84.49,11.59,42.76,29.47,13.49,1.09,27.01,7.9,79,Satisfactory
0,0,0,0,1,0,0,0,0,2020-06-18,46.26,119.83,4.66,8.86,9.43,1.08,0.55,69.32,3.04,122,Moderate
0,0,0,1,0,0,0,0,0,2019-12-15,94.67,151.57,26.19,39.9,43.01,38.46,1.15,22.96,21.24,205,Poor
0,0,0,1,0,0,0,0,0,2019-09-24,35.88,96.22,16.67,34.98,34.14,25.61,0.98,28.92,21.11,103,Moderate
0,0,0,1,0,0,0,0,0,2019-10-12,103.45,209.42,35.55,48.54,53.06,33.54,1.44,44.45,35.04,235,Poor
0,0,0,0,0,0,0,1,0,2020-05-26,41.66,110.63,19.13,13.53,11.16,6.57,0.63,30.7,8.87,110,Moderate
0,0,0,0,0,1,0,0,0,2016-10-04,11.98,35.51,9.57,42.12,13.8,9,0.03,22.95,0.11,47,Good
1,0,0,0,0,0,0,0,0,2019-03-27,24,60.54,2.23,10.84,7.69,7.15,0.54,32.91,3.83,69,Satisfactory
0,0,0,1,0,0,0,0,0,2018-08-15,43,117.21,9.88,23.72,22.86,37.96,0.84,34.04,30.1,128,Moderate
1,0,0,0,0,0,0,0,0,2018-03-17,49.58,82.95,4.98,19.05,14.27,13.47,0.7,20.32,2.18,61,Satisfactory
0,0,0,0,0,0,0,0,1,2016-08-08,30.37,92.09,14.75,34.63,27.86,17.47,1.07,22.94,8.35,94,Satisfactory
0,0,0,0,0,1,0,0,0,2016-04-07,42.22,96.54,3.83,31.94,23.71,22.34,0.96,45.28,4.1,120,Moderate
0,0,0,0,0,0,0,0,1,2019-01-23,118.46,137.7,34.77,76.17,68.79,16.81,1.09,30.27,9.22,302,'Very Poor'
0,0,0,0,0,1,0,0,0,2019-03-21,41.06,90.51,2.57,26.62,16.05,18.76,0.66,31.53,5.35,95,Satisfactory
0,0,0,0,0,0,0,0,1,2019-12-05,76.4,129.34,2.7,32.77,19.64,10.06,0.69,91.88,6.92,137,Moderate
0,0,0,0,0,0,0,0,1,2017-11-20,13.71,28.68,5.91,10.58,10.34,7.27,0.82,19.47,4.58,74,Satisfactory
0,0,0,0,0,0,0,0,1,2018-10-07,69.29,155,5.47,32.8,21.9,17.76,0.55,37.8,7.82,153,Moderate
0,0,0,0,0,0,0,0,1,2018-08-03,52.43,165.01,12.56,40.08,31.53,8.35,0.51,16.1,16.14,130,Moderate
1,0,0,0,0,0,0,0,0,2018-06-24,18.09,45.11,3,7.26,6.39,9.25,1,64.6,0.24,89,Satisfactory
0,0,0,0,0,0,0,0,1,2017-11-01,47.12,96.39,1.2,0.17,0.17,0.15,1.25,80.43,6.02,149,Moderate
0,0,0,0,0,1,0,0,0,2018-11-17,23.09,59.77,6.46,32.04,21.93,11.7,0.47,20.36,11.13,76,Satisfactory
0,0,0,0,0,1,0,0,0,2018-11-27,69.91,152.94,6.32,59.24,35.57,10.25,0.74,41.07,20.25,138,Moderate
0,0,0,0,0,0,0,0,1,2016-07-26,23.34,80.58,32.99,58.13,52.91,13.21,1.34,42.77,16.74,155,Moderate
1,0,0,0,0,0,0,0,0,2020-01-17,45.81,66.69,2.1,11.52,7.83,15.1,0.66,44.3,1.06,82,Satisfactory
0,0,0,0,0,1,0,0,0,2016-10-13,50.52,99.86,12.08,63.89,20.04,21.18,0.65,26.79,10.12,104,Moderate
0,0,0,0,0,1,0,0,0,2019-08-05,7.95,16.23,3.65,12.93,9.21,13.28,0.33,17.12,0.6,37,Good
0,0,0,0,1,0,0,0,0,2020-06-04,58.03,143.56,5.26,17.88,13.04,9.73,0.87,52.81,3.36,130,Moderate
0,0,0,0,0,0,0,0,1,2019-04-15,28.84,107.04,20.1,36.27,35.64,6.95,0.84,7.94,5.54,89,Satisfactory
0,0,0,0,0,0,0,0,1,2018-02-14,52.38,113.91,0.98,6.49,2.22,1.42,0.51,81.06,7.44,121,Moderate
0,0,0,1,0,0,0,0,0,2019-08-09,14.59,61.47,9.54,22.08,21.86,28.01,0.86,26.17,15.54,89,Satisfactory
0,0,0,1,0,0,0,0,0,2019-11-10,192.35,296.44,30.88,50.35,56.41,32.4,1.44,38.5,29.59,339,'Very Poor'
0,0,0,1,0,0,0,0,0,2020-04-24,65.91,138.46,11,25.62,24.87,32.62,0.99,47.98,13.43,143,Moderate
0,1,0,0,0,0,0,0,0,2020-06-18,34.6,123.23,21.98,18.43,30.65,13.91,0.74,16.48,1.1,117,Moderate
0,0,1,0,0,0,0,0,0,2020-02-17,37.34,84.86,6.64,17.18,14.42,29.55,0.61,15.63,0.2,88,Satisfactory
1,0,0,0,0,0,0,0,0,2020-03-08,10.28,22.95,2.09,8.15,6.03,8.47,0.49,24.62,0.42,35,Good
0,0,0,0,0,0,0,0,1,2018-05-05,18.79,72.55,9.84,25.71,21.68,9.26,0.42,15.94,9.6,77,Satisfactory
0,0,0,0,0,1,0,0,0,2016-10-22,54.48,108.28,13.08,79.11,24.12,53.38,0.39,34.31,1.5,104,Moderate
0,0,0,0,0,0,0,0,1,2019-10-27,116.65,192.8,32.3,41.26,47.34,4.86,1.11,22.5,5.51,132,Moderate
0,0,0,1,0,0,0,0,0,2017-10-22,146.01,201.91,54.57,55.88,31.89,45.72,0.93,34.88,4.04,338,'Very Poor'
0,0,0,0,0,1,0,0,0,2020-03-10,25.67,60.08,9.91,21.21,17.74,11.85,0.44,21.56,7.31,65,Satisfactory
0,0,0,0,0,1,0,0,0,2020-04-12,33.4,59.02,5.55,21.68,15.09,13.12,0.4,24.1,7.91,61,Satisfactory
0,0,0,0,0,1,0,0,0,2017-11-23,96.83,88.36,11.04,37.91,28.39,14.6,0.76,39.92,15.71,133,Moderate
0,0,0,0,0,0,0,0,1,2019-05-11,49.08,163.64,5.63,11.09,10.49,3.62,0.87,25.23,4.09,140,Moderate
0,0,0,0,0,1,0,0,0,2020-06-04,13.93,28.72,5.38,18.89,13.16,13.38,0.3,21.39,1.75,33,Good
0,1,0,0,0,0,0,0,0,2018-03-19,44.86,144.69,11.95,14.56,26.51,9.1,0.84,36.17,1.29,138,Moderate
0,0,0,0,0,0,0,0,1,2017-03-08,19.72,42.65,14.08,13.58,18.62,8.15,0.96,13.87,3.83,108,Moderate
0,0,0,0,0,1,0,0,0,2017-06-29,10.38,39.46,7.44,12.42,6.26,3.53,0.18,32.42,0.24,62,Satisfactory
0,0,0,0,0,1,0,0,0,2016-12-17,56.65,95.79,18.38,60.92,14.28,31.24,0.47,40.88,1.14,117,Moderate
1,0,0,0,0,0,0,0,0,2017-12-31,61.03,131.62,5.51,39.5,25.49,17.82,0.08,61.91,4.16,120,Moderate
0,0,0,0,0,0,0,0,1,2020-04-20,9.08,35.35,16.21,30.16,29.22,8.35,0.11,9.46,8.55,47,Good
0,0,0,0,0,1,0,0,0,2016-04-05,52.91,116.28,4.51,34.56,23.81,26.16,0.86,47.1,5.3,103,Moderate
0,0,0,0,0,0,0,0,1,2018-07-29,40.33,127.5,9.14,34.26,25.65,8.97,0.45,17.03,11.28,114,Moderate
0,1,0,0,0,0,0,0,0,2020-05-29,29.99,77.22,19.41,11.22,28.95,11.92,0.73,17,1.1,67,Satisfactory
0,0,0,0,0,1,0,0,0,2019-02-10,58.82,162.47,3.61,39.43,22.94,17.78,0.54,34.46,26.09,130,Moderate
0,0,0,0,0,1,0,0,0,2020-06-23,22.36,56.6,6.71,22.45,16.53,11.81,0.32,16.49,7.24,51,Satisfactory
0,0,0,0,0,0,0,0,1,2018-01-29,87.12,156.83,13.37,44.15,34.35,17.01,1.04,77.9,9.41,176,Moderate
0,1,0,0,0,0,0,0,0,2020-05-27,37.21,66.23,16.63,10.97,26.78,11.95,0.56,17,1.1,77,Satisfactory
0,0,0,0,0,0,1,0,0,2020-05-21,7.3,32.25,3.85,6.66,10.57,8.02,0.36,24.14,8.53,37,Good
0,0,0,1,0,0,0,0,0,2019-07-15,42.04,137.67,11.57,27.17,26.07,25.07,1.09,27.23,18.94,180,Moderate
0,1,0,0,0,0,0,0,0,2020-04-19,11.33,30.5,18.12,11.33,27.79,12.74,0.82,43.02,1.54,44,Good
0,0,0,0,0,1,0,0,0,2018-08-30,24.66,82.96,7.02,26.52,19.13,11.46,0.29,18.68,11.2,68,Satisfactory
0,0,0,0,0,0,0,0,1,2018-10-15,49.55,100.07,18.38,51.42,42.3,12.79,0.71,32.89,12.87,98,Satisfactory
0,0,0,0,0,0,0,0,1,2019-06-27,40.18,105.25,7.6,47.96,31.68,6.71,0.81,19.68,11.1,98,Satisfactory
0,0,0,0,0,1,0,0,0,2017-12-28,68.65,139.18,10.23,60.71,39.96,16.52,0.93,47.22,21.6,132,Moderate
1,0,0,0,0,0,0,0,0,2018-02-19,54.73,94.12,3.49,12.79,9.73,22.79,0.58,30.21,2.23,89,Satisfactory
0,0,0,0,0,1,0,0,0,2019-02-21,39.32,89.56,4.07,35.72,22.13,12.13,0.54,27.44,6.5,82,Satisfactory
1,0,0,0,0,0,0,0,0,2020-06-14,11.71,25.81,1.6,8.06,5.6,8.67,0.53,39.34,0.57,47,Good
0,0,0,0,0,1,0,0,0,2019-12-13,31.86,69.75,8.63,32.41,23.17,13.97,0.61,26.76,6.4,85,Satisfactory
0,0,0,0,0,1,0,0,0,2019-11-06,84,155.75,8.64,35.47,24.61,20.55,0.85,27.88,9.49,177,Moderate
0,0,0,1,0,0,0,0,0,2018-08-02,71.5,268.29,20.56,25.2,32.61,36.33,0.86,29.3,23.26,215,Poor
