@relation 'city_day-weka.filters.unsupervised.attribute.NumericCleaner-min1.0E-9-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C5-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C6-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C8-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C12-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C14-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-Lfirst-last-M-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C18-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-Llast-weka.filters.unsupervised.attribute.Remove-R17-18-weka.filters.unsupervised.attribute.NominalToBinary-R1-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9-10,12,14,16-18,20-21,23-25-weka.filters.unsupervised.attribute.NumericToNominal-R1-9-weka.filters.unsupervised.attribute.Remove-R18,20,22-weka.filters.unsupervised.attribute.ClassAssigner-Clast-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement-V'

@attribute City=Amaravati {0,1}
@attribute City=Amritsar {0,1}
@attribute City=Chandigarh {0,1}
@attribute City=Delhi {0,1}
@attribute City=Gurugram {0,1}
@attribute City=Hyderabad {0,1}
@attribute City=Kolkata {0,1}
@attribute City=Patna {0,1}
@attribute City=Visakhapatnam {0,1}
@attribute Date date yyyy-MM-dd
@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute O3 numeric
@attribute Toluene numeric
@attribute AQI numeric
@attribute AQI_Bucket {Poor,'Very Poor',Severe,Moderate,Satisfactory,Good}

@data
0,0,0,0,0,1,0,0,0,2018-11-25,69.28,149.67,4.95,50.29,30.48,9.59,0.64,46.4,30.13,140,Moderate
0,0,0,1,0,0,0,0,0,2015-10-03,103.58,293.23,31,54.93,75.48,24.31,1.72,47.52,15.27,266,Poor
0,0,1,0,0,0,0,0,0,2020-06-21,26.45,57.26,0.44,9.1,5.08,35.05,0.28,45.2,0.31,76,Satisfactory
1,0,0,0,0,0,0,0,0,2017-12-09,74.28,141.22,6.1,44.97,28.88,15.73,0.09,60.62,4.79,196,Moderate
1,0,0,0,0,0,0,0,0,2017-12-10,50.32,102.77,1.73,33.85,19.41,12.56,0.1,68.15,4.29,132,Moderate
0,0,0,0,0,1,0,0,0,2015-11-21,38.88,106.93,6.34,9.18,13.07,6.83,0.93,33.12,5.01,92,Satisfactory
0,0,0,0,0,0,0,0,1,2020-05-22,24.8,90.94,4.34,39.51,24.12,18.93,0.11,30.61,3.49,117,Moderate
0,0,0,0,0,1,0,0,0,2016-12-04,59.44,94.88,12.66,40.89,14.51,21.32,0.41,32.84,0.12,94,Satisfactory
1,0,0,0,0,0,0,0,0,2017-12-14,69.4,98.94,5.81,29.97,20.67,19.34,0.14,55,5.09,115,Moderate
0,0,0,0,1,0,0,0,0,2020-06-01,36.12,87.51,6.9,20.5,13.33,12.39,0.85,72.06,2.93,133,Moderate
0,0,0,0,0,1,0,0,0,2017-10-06,28.48,54.04,11.38,19.44,8.09,10.26,0.21,32.82,8.81,102,Moderate
0,0,0,0,0,0,0,0,1,2019-05-25,39.15,123.66,9.88,31.19,24.62,7.44,0.82,17.42,2.05,109,Moderate
0,0,0,0,0,0,0,0,1,2018-01-20,103.95,249.97,36.89,60.86,62.16,16.32,1.52,49.83,6.25,229,Poor
0,0,0,0,0,0,0,0,1,2019-11-27,72.71,119.26,2.87,28.31,17.37,10.91,0.85,84.34,9.1,169,Moderate
0,0,0,0,0,1,0,0,0,2020-02-24,32.51,77.92,9.62,27.31,20.91,16.28,0.46,32.78,3.43,70,Satisfactory
1,0,0,0,0,0,0,0,0,2017-12-21,79.98,147.74,7.02,49.55,32.07,17.28,0.14,79.71,3.95,170,Moderate
0,0,0,0,0,1,0,0,0,2019-09-26,20.4,37.11,3.86,15.21,9.51,7.87,0.44,16.42,3.08,53,Satisfactory
0,0,0,1,0,0,0,0,0,2020-03-12,56.92,155.18,21.91,36.74,39.57,35.31,0.94,34.27,19.69,125,Moderate
0,0,0,0,0,1,0,0,0,2017-12-20,88.14,152.17,16.01,67.71,48.21,17.75,1.33,43,34.41,151,Moderate
1,0,0,0,0,0,0,0,0,2017-12-25,110.73,171.47,1.69,31.06,17.89,21.66,0.1,76.07,3.96,242,Poor
